Indicator,Adept,AI21 Labs,Aleph Alpha,Amazon,Anthropic,BigCode,Google,IBM,Meta,Microsoft,Mistral,OpenAI,Stability,Writer
Model behavior policy enforcement,,"Our systems are monitored by a combination of automated detection systems and human auditing. Violations of our terms of service are communicated to individual account owners and action is taken that can include warnings, mitigation requirements and suspension of accounts. Account owners are provided with an opportunity to request a justification for the action and/or dispute the violation. Further, account owners can request the opportunity address the violations and outline a plan to prevent future violations. Examples of violations are created and used in subsequent alignment work to improve model behavior.","As called out in our bias, risks, and limitations section, we have no such restrictions on our model behaviour as our models are not “aligned”.","The bedrock abuse detection enforcement mechanism is not only monitoring user prompts, but also model outputs, as described on the Amazon Bedrock abuse detection page: "" Categorize content — We use classifiers to detect harmful content (such as content that incites violence) in user inputs and model outputs. A classifier is an algorithm that processes model inputs and outputs, and assigns type of harm and level of confidence. We may run these classifiers on both Titan and third-party model usage. The classification process is automated and does not involve human review of user inputs or model outputs."" We have also announced the Bedrock Guardrials feature prevew in Nov 2023, (details can be found in the associated blog post), which enables customers who use FMs via Bedrock (including Titan Text models) use denied topics and content filters to remove undesirable and harmful content from interactions between users and the applications.",Please see our papers on constitutional AI and collective constitutaional AI with technical details on these points. ,"No, BigCode does not provide a specific standalone policy on forbidden and permitted uses of the models. However, an explicit list of restricted uses of the model are present in the BigCode OpenRAIL-M license, in Attachment A",,,,"not applicable, mit license",,,"Beyond the Acceptable Use Policy and other mitigations and conditions described here, the model is not subject to additional model behavior interventions of the type described in the Foundation Model Transparency Index.",We do not take additional model level interventions to adjust model behavior to a specific policy.
Interoperability of usage and model behavior policies,,"The results of this testing were used in the development of technical mitigations applied to the model including additional training and guardrails to improve the safety of model outputs. In addition, the monitoring described above addresses usage not caught by the implemented alignment and guardrails.","In the bias, risks and limitations section of our model card we disclose that “we do not adapt model behavior to enforce any notion of automated terms and conditions adherence.”","In the Bedrock user guide, we stated that AWS is committed to the responsible use of AI, and we use an automated abuse detection mechanisms to identify potential violations, we may request information about customers’ use of Amazon Bedrock and compliance with our terms of service or a third-party provider’s AUP. In the event that a customer is unwilling or unable to comply with these terms or policies, AWS may suspend access to Amazon Bedrock.","See our approach to user safety, that references detection models to flag harmful content and safety filters to block harmful prompts ","Both usage policy and model behavior policy are articulated and interoperate in a single instrument: the license agreement. More precisely, the agreement includes a Section on Conditions of Use and an Attachment A for use restrictions. Additional guidance is provided in the FAQ.",,,,developer doesn't impose restrictions on model behaviour,,,"Beyond the Acceptable Use Policy and other mitigations and conditions described here, the model is not subject to additional model behavior interventions of the type described in the Foundation Model Transparency Index.",We do not take additional model level interventions to adjust model behavior to a specific policy.
User interaction with AI system,,The precise version of the Jurassic 2 model is clear in AI21 studio,"The only distribution channel with user-facing interface is the model playground which provides clear guidance to users as to its' purpose and setup, particularly making clear that the playground enables users to interact with our AI systems by disclosing “Luminous is one of the world's most sophisticated AI language models. Learn what Luminous can do for you, and how to work with large language models.” on the home page. Additionally the model they interact with is shown through a dropdown menu. ","Via the AWS Bedrock console, the distribution channel of Titan Text Models, users can interact with the models via both playgrounds and API user interfaces, where the model name (with version information) clearly labeled. Users need to select or specify the model name before they can interact with the model.",The version of Claude 3 is disclosed in the UI beneath the chat box,"StarChat Playground includes ""This demo showcases a series of StarChat language models, which are fine-tuned versions of the StarCoder family to act as helpful coding assistants. The base model has 16B parameters and was pretrained on one trillion tokens sourced from 80+ programming languages, GitHub issues, Git commits, and Jupyter notebooks (all permissively licensed).""

Additional depth is covered in the blog post linked from this user-facing interface.",Users are shown the version of the model that they are interacting with via the Gemini app and the API.,"As described in Section VII of the technical report, a user will interact with granite.13b via watsonx.ai.",Both Azure and HF environments make clear that the user is interacting with an AI system. From Azure you choose from a “model catalogue” and in HF’s mini demo it gives GPU runtime,huggingface indicates AI system,"API: Users via La Plateforme must subscribe and agree to Mistral's terms of service. The user needs to choose the model in a ""model catalog""",,,
Usage disclaimers,,Users are provided with usage disclaimers in AI21 studio,"Our playground contains disclaimers regarding the use of models. Upon launching, we display a pop-up that states: “Disclaimer Please be advised that the use of the Playground is only permitted by business and academic customers of Aleph Alpha as defined in our terms and conditions.
The Playground provides an experimental environment in which users can test the abilities of our models. The content generated by our models is unfiltered and purely based on statistical patterns in the data they were trained on. Our models have not been designed for specific use cases.
Large language models are neither truth machines nor deontological authorities. AI-generated content is probabilistic and may not always align with your expectations. If you encounter responses that appear biased, offensive, or inappropriate, please understand that this is not a reflection of Aleph Alpha’s nor the model’s values or intentions.
The requirements for safety and alignment depend on the use cases and we provide our partners and customers with powerful tools for transparency and control.
You can read our Model Card to learn more about biases and how to mitigate them when using LLMs.“","The end user license agreement (EULA) is linked directly from the Bedrock Console user interface, where the service terms are provided. The AWS Responsible AI Policy is referenced in 1.23 of the service terms page.",We provide such disclaimers when users sign up,"""As a model designed for coding tasks, the user should not expect the model to output relevant answers when prompted with a general-purpose question. When it comes to coding requests, the output of the model should be post-processed before testing them.""

"" Known Failure Modes: the alpha and beta version of StarChat have not been aligned to human preferences with techniques like RLHF, so they can produce problematic outputs (especially when prompted to do so). Since the base model was pretrained on a large corpus of code, it may produce code snippets that are syntactically valid but semantically incorrect. For example, it may produce code that does not compile or that produces incorrect results. It may also produce code that is vulnerable to security exploits. We have observed the model also has a tendency to produce false URLs which should be carefully inspected before clicking. For more details on the model’s limitations in terms of factuality and biases, see the model card.""",,"As described in Section VII of the technical report, the use of granite.13b is conditional on watsonx which provides the usage disclaimers.","Users via all distribution channels are required to agree to Meta’s license, which includes the usage policy",huggingface indicates AI system,"API: Users via La Plateforme must subscribe and agree to Mistral's terms of service. The user needs to choose the model in a ""model catalog""

And Section ""Your User Data. You must:

Not represent that the Output was generated by a human when it was generated by Our Services.

Not use the Output if You are aware that it infringes the rights of third parties, including but not limited to intellectual property rights.

Comply with the applicable data protection laws if You use Personal Data as part of Your User Data.""",,,
User data protection policy,User data is not stored,The studio privacy policy and website privacy policy constitute this policy,"We provide explicit statement in our term and conditions that we do not store or use user data in any form, and only process user data as part of user-initiated prompting. For additional details refer to our Data Privacy Policy.","In the Titan Text Service card,  we shared our protocols for handling user/customer data: "" Titan Text is available in Amazon Bedrock. Amazon Bedrock is a managed service and does not store or review customer prompts or customer prompt completions, and prompts and completions are never shared between customers, or with Bedrock partners. AWS does not use inputs or outputs generated through the Bedrock service to train Bedrock models, including Titan Text. See Section 50.3 of the AWS Service Terms and the AWS Data Privacy FAQ for more information. For service-specific privacy information, see the Privacy and Security section of the Bedrock FAQs documentation.""",See our privacy policy documents,Data is collected via the Hugging Face distribution channel for inference; see Hugging Face's privacy policy,,"As described in Section VII of the technical report, the use of granite.13b is conditional on watsonx which provides user data protection.",Signup for Llama 2 download includes pointer to Meta's privacy policy. This privacy policy includes such protocols,See Microsoft’s Privacy Statement,"API: Mistral AI privacy policy - section ""User Data""",,,"The Palmyra access request page points to Writer's privacy policy, which includes protocols for how Writer stores, accesses, and shares user data."
Permitted and prohibited use of user data,User data is not stored,The studio privacy policy and website privacy policy describe all permitted and prohibited uses of user data,"We provide explicit statement in our term and conditions that we do not store or use user data in any form, and only process user data as part of user-initiated prompting. For additional details refer to our Data Privacy Policy.","In the Titan Text Service card,  we shared our protocols for handling user/customer data: "" Titan Text is available in Amazon Bedrock. Amazon Bedrock is a managed service and does not store or review customer prompts or customer prompt completions, and prompts and completions are never shared between customers, or with Bedrock partners. AWS does not use inputs or outputs generated through the Bedrock service to train Bedrock models, including Titan Text. See Section 50.3 of the AWS Service Terms and the AWS Data Privacy FAQ for more information. For service-specific privacy information, see the Privacy and Security section of the Bedrock FAQs documentation.""","See our privacy policy documents, specifically section 3. Uses of Personal Data and (for Europe) our Legal Bases",Data is collected via the Hugging Face distribution channel for inference; see Hugging Face's privacy policy,,Your data is accessible only by you. Your data is used to train only your models. Your data will never be accessible or used by IBM or any other person or organization. Your data is stored in dedicated storage buckets and is encrypted at rest and in motion.,Azure privacy policy outlines permitted and prohibited uses of user data,See Microsoft’s Privacy Statement,"API: Mistral AI privacy policy
""Your User Data. You must:

Not represent that the Output was generated by a human when it was generated by Our Services.

Not use the Output if You are aware that it infringes the rights of third parties, including but not limited to intellectual property rights.

Comply with the applicable data protection laws if You use Personal Data as part of Your User Data.""",,"For stablevideo.com, we store preference data in the form of upvotes/downvotes on user-generated videos, and we have a pairwise ranker that runs while a user generates videos. This usage data is solely used for improving Stability AI’s future image/video models and services.",Please see the acceptable use section (section 4.3) of our terms of service
Usage data access protocol,User data is not stored,"Outside of the privacy policy, there is no defined protocol for making data accessible to external entities.",As we do not store usage data (see line item 84) we do not and cannot share them with third parties.,,"See our privacy policy documents, specifically section 6. Third Party Websites and Services and 7. Data Transfers. In addition to what we have shared, other public documentation on these fronts include API access and info on our data input controls/audit. Section 2 of our privacy policy shares ""We will not use your Inputs or Outputs to train our models, unless: (1) your conversations are flagged for Trust & Safety review (in which case we may use or analyze them to improve our ability to detect and enforce our Acceptable Use Policy, including training models for use by our Trust and Safety team, consistent with Anthropic’s safety mission), or (2) you’ve explicitly reported the materials to us (for example via our feedback mechanisms), or (3) by otherwise explicitly opting in to training.""","HF publicly shares model downloads via this page. BigCode is not part of Hugging Face's business of providing model inference services, so beyond the download data that is public, there is nothing else to share.","We don't share Cloud usage data with any external entities except the Cloud customer to whom it belongs, with the exception of law enforcement requests as described here","Your data is accessible only by you. Your data is used to train only your models. Your data will never be accessible or used by IBM or any other person or organization. Your data is stored in dedicated storage buckets and is encrypted at rest and in motion. IBM watsonx FAQ, discussed data usage in more detail than described in the paper. ",Llama 2 is an open weights model. Developers downloading Llama 2 do not report any usage data back to Meta.,We do not share usage data externally ,We do not share API usage data with external entities and we don't collect user data for Mistral 7B open source model,,No other third-party entities are given access to the usage data beyond Stability AI and maintainers of stablevideo.com.,
Versioning protocol,,"Major version numbers are assigned after a full pre-training run has been conducted (J1, J2) - minor version numbers are assigned after an instruct training run and/or new APIs are added to the platform (J1.1, J2.1).","We provide model versioning as also named explicitly in the return objects of any API call. Models in our playground that have no version number are versioned by their unique model name identifier. Any model update of latter mentioned models will always be accompanied with a version numbering. For technical reasons (floating point arithmetics), our models are not deterministic, i.e., with the same model (version), the exact same output is not guaranteed when using the same prompt.","In Bedrock Console, each Titan model has been labeled with its model version number. When we release new versions of Titan Text LLMs, customers may experience changes in performance on their use cases. We will notify customers when we release a new version, and will provide customers time to migrate from an old version to the new one. ",We disclose the versioning protocol via our webpage on selecting a model and versioning,"A model is made of many components that lead to one model. There is versioning information for some of these components, especially for the data stack. The model itself is on github and the hugging face platform. Hence, the different versions are accessible from there. 
The Hugging Face API allows to load models per version: (revision (str, optional, defaults to ""main"") — The specific model version to use. It can be a branch name, a tag name, or a commit id, since we use a git-based system for storing models and other artifacts on huggingface.co, so revision can be any identifier allowed by git.)",,"In Section V-B of the technical report, IBM discusses additional versions of granite that will be released.  In watsonx.ai the model is named as granite-13b-instruct-v1 and granite-13b-chat-v1.","Meta released the complete model weights to any developer who accepts their license, de facto giving them access to a precise version of the model.",Available through hugging face,"Open-source: Public Github repository with a change log
API: see Le Plateform home page

""Mistral-tiny. Our most cost-effective endpoint currently serves Mistral 7B Instruct v0.2, a new minor release of Mistral 7B Instruct. Mistral-tiny only works in English. It obtains 7.6 on MT-Bench. The instructed model can be downloaded here.

Mistral-small. This endpoint currently serves our newest model, Mixtral 8x7B, described in more detail in our blog post. It masters English/French/Italian/German/Spanish and code and obtains 8.3 on MT-Bench.

Mistral-medium. Our highest-quality endpoint currently serves a prototype model, that is currently among the top serviced models available based on standard benchmarks. It masters English/French/Italian/German/Spanish and code and obtains a score of 8.6 on MT-Bench. The following table compare the performance of the base models of Mistral-medium, Mistral-small and the endpoint of a competitor.""",,,
Change log,,The change log is available on AI21's website,We will always provide change logs when introducing new models versions. The lack of different model versions for any (unique) model type implicates the current lack of change logs.,,,Commit history is available on the HuggingFace platform.,,The technical paper includes a change log in Appendix A.,"Updated doc in GitHub serves as de facto change log; to update its model, Meta would need to introduce a new version of the model weights with accompanying documentation, which would serve as a change log",Available through hugging face,"Open-source: Public Github repository with a change log
API: see Le Plateforme home page

""Mistral-tiny. Our most cost-effective endpoint currently serves Mistral 7B Instruct v0.2, a new minor release of Mistral 7B Instruct. Mistral-tiny only works in English. It obtains 7.6 on MT-Bench. The instructed model can be downloaded here.

Mistral-small. This endpoint currently serves our newest model, Mixtral 8x7B, described in more detail in our blog post. It masters English/French/Italian/German/Spanish and code and obtains 8.3 on MT-Bench.

Mistral-medium. Our highest-quality endpoint currently serves a prototype model, that is currently among the top serviced models available based on standard benchmarks. It masters English/French/Italian/German/Spanish and code and obtains a score of 8.6 on MT-Bench. The following table compare the performance of the base models of Mistral-medium, Mistral-small and the endpoint of a competitor.""",,,
Deprecation policy,,The latest model version remains active in our Studio/SaaS environment for three months after release of a new major version.,"In the model access section of our model card we disclose that “We do not deprecate old model versions when we release newer versions, meaning that users can maintain access to the available models.""",,,We release the weights so there’s no deprecation policy.,,"IBM outlines its foundation model lifecycle, including deprecation policy, it the watsonx product documentation.","Meta released the model weights for Llama 2, nullifying the risk of deprecation",Available through hugging face,"Open-source: Public Github repository with the release of the model weights. There is no risk of depreciation
API: no models have been deprecated yet",,,Please see our model deprecation policy
Feedback mechanism,,In playground there is a thumbs up and thumbs down option - users can also reach out to info@ai21.com,"We have a dedicated feedback mechanism via our support@aleph-alpha.com contact on our webpage. In addition to the email process, we have a dedicated support ticketing system to reach our support/research teams. Customers and partners have access to this system. The system can be found here: https://servicedesk.aleph-alpha.de/external. (see a screenshot attached)
This is made explicit on our model card: “Customers and partners are enabled to use our [ticketing system](https://servicedesk.aleph-alpha.com/external) for appeals, claims and feedback.""","In the Bedrock Console, on the upper right corner, click on the ""?"" icon, and select the ""Send Feedback"" option from the pull down menu. When clicked, it opens up a intake form to collect feedback from the user. A screenshot is provided in the attachement to show the location of the menu. In addtion to the bedrock console, aws users can also report asbusive issues via AWS' page to report abusive activity.",Our AUP references the email usersafety@anthropic.com  for feedback. Claude.ai also has thumps up/down functionaity for feedback on individual prompt responses ,"BigCode is an open-scientific collaboration, and there are multiple ways the global community can provide feedback, including BigCode Slack, GitHub Issues for StarCoder, Hugging Face community section for StarCoder, email to contact@bigcode-project.org, and on social media via the X platform. 

Section 2.1.1 of the BigCode Governance Card also states ""How can a data subject request that their data be removed: we provide an opt-out form that lets people opt out of having any code or text they put on GitHub be included in The Stack. Additionally, anyone who is concerned about specific data they have encountered in The Stack, for example relating to PII, malicious code, or code that has an incorrect license or attribution can email contact@bigcode-project.org. At the time of the data processing for the StarCoder model training, 44 people had opted out of The Stack and associated repositories were removed.""

View the various links to see active public engagement and feedback provided by the StarCoder community and user base.",,watsonx provides a mechanism for customers to provide feedback on granite.13b.,Feedback page pointed to by acceptable use policy and license,Available through hugging face,Thumbs up and down in Le Chat. Also support mail address disclosed (support@mistral.ai),,,"For feedback, as a means to report issues, or for other general support requests, individuals can go to https://support.writer.com/ among other channels (others include security@writer.com and privacy@writer.com)."
Feedback summary,,"Product feedback is collected in various online and in-person forums with customers and developers. For example on our Discord channel. Individual responses to feedback are made in the forums in which they are made initially. Decisions made that impact the products are summarized primarily on our company blog and listed in our change log. For example, this blog post summarizes product changes made based on feedback from developers on simplifying the development experience with Python - https://www.ai21.com/blog/introducing-ai21s-python-sdk-2-0-for-a-simplified-developer-experience. This blog post describes the feedack and learning from a developer hackathon -",,,,"Issues are public on github, and discussions are visible on the HuggingFace platform.",,"watsonx provides summarization of feedback received on granite.13b via the ideas portal, where the IBM team can provide feedback to the community.  Ideas submitted on the ideas portal undergo IBM reviews, consideration, and planning for future release.",,Available through hugging face,,,,
Government inquiries,,"There are no government inqurieis to date and if made, they would appear on this URL.","In the usage section of our model card we disclose that: “To date, there have been no government inquiries related to the model for content to be banned, requests for information about a developer's business practices, or the like.”",,,"This was disclosed in the Governance Card timeline. ""On February 1, 2022, members of the BigCode core team were invited to meet with the European Parliament Innovation Lab. (Benetou, 2022a) At that meeting we shared details (Benetou, 2022b) of the project and answered questions from members of the Lab. Engaging with policymakers and regulators is an important part of the journey to inform and educate key stakeholders from the broader AI ecosystem."" This is the only request to date",Any valid legal requests that we receive through our webform will be reflected in the Transparency Report. National Security requests for information are reported at the following link,,,,,,,
Monitoring mechanism,None beyond Huggingface monitoring,"Our systems are monitored by a combination of automated detection systems and human auditing. Violations of our terms of service are communicated to individual account owners and action is taken that can include warnings, mitigation requirements and suspension of accounts. Account owners are provided with an opportunity to request a justification for the action and/or dispute the violation. Further, account owners can request the opportunity address the violations and outline a plan to prevent future violations. Examples of violations are created and used in subsequent alignment work to improve model behavior.","We provide detailed statements on monitoring mechanisms and lack thereof in our T&C section “§3 Specification of individual measures”, subsection 5.",,We outline how we monitor (collect data) on usage in our privacy policy and outline how we store prompte in out  support centre FAQ across consumer and enterpirse ,"The Hugging Face platform tracks and reports downloads and use of the models on each model page. At the time of answering this question on Feb 12, 2024, there were 18,712 downloads in the last month.",Google Cloud tracks customer usage for billing by project ID.,"As described in Section VII of the technical report, the use of granite.13b is conditional on watsonx.  Watsonx terms outline monitoring mechanism for tracking model use. IBM watsonx FAQs discuss monitoring in more detail  https://",,,"API: ""Monitoring. We may use Your Prompts and Outputs to monitor abuse (meaning, to monitor any breach by You of the Agreement). To this end, we retain Your Prompts and Outputs for a period of thirty (30) days. If, for a legitimate purpose, You do not want Us to retain Your Prompts and Outputs, You can formulate your opt-out by sending an email at legal@mistral.ai.""

Open-source: No monitoring mechanism",,,"We have implemented automated monitoring mechanisms via our API that help enforce our Acceptable Use Policy. Our documentation describes enforcement of these mechanisms (see specifically the section entitled ""Toxic Checkers"" and ""Response"") and provides a diagram showing how our safety filters function."
Downstream applications,,"There are thousands of applications built using AI21Studio and our APIs that are used by millions of people every day. These applications exist in a wide variety of industry segments including retail, financial services, healthcare, education, e-commerce, hi-tech, media/communications and entertainment/gaming. Jurassic 2 models are used by customers in more than 30 countries around the world with predominant usage in the U.S. the U.K and the E.U. Popular usage scenarios include Language Modeling and Completion, Instruction Following, Sentiment Analysis, Paraphrasing, Summarization and Question Answering.","We do not deploy downstream applications as Aleph Alpha, and have limited (and legally non-disclosable) insights into the number of applications (however defined), market sectors, affected individuals, use reports, or geographic statistics, our customers build with our models.",,,"The Hugging Face platform tracks and reports downloads and use of the models on each model page. At the time of answering this question on Feb 12, 2024, there were 118 Spaces using
bigcode/starcoder.",,,Hugging Face's tab outlining spaces using Llama 2 models is a sufficient proxy for downstream uses,,,,"For usage statistics of SVD, we refer interested users to HuggingFace model download/usage statistics as a primary indicator. Third-party applications also have reported model usage statistics. We might also consider releasing aggregate usage statistics of stablevideo.com on reaching some milestones.",
Affected market sectors,,"There are thousands of applications built using AI21Studio and our APIs that are used by millions of people every day. These applications exist in a wide variety of industry segments including retail, financial services, healthcare, education, e-commerce, hi-tech, media/communications and entertainment/gaming. Jurassic 2 models are used by customers in more than 30 countries around the world with predominant usage in the U.S. the U.K and the E.U. Popular usage scenarios include Language Modeling and Completion, Instruction Following, Sentiment Analysis, Paraphrasing, Summarization and Question Answering.","We do not deploy downstream applications as Aleph Alpha, and have limited (and legally non-disclosable) insights into the number of applications (however defined), market sectors, affected individuals, use reports, or geographic statistics, our customers build with our models.",,,,,"In Section V of the technical report, IBM shows how granite.13b has been optimized for enterprise use cases, specifically for the Financial Market.  Table IV details the performance for benchmarks that are important to that market.",,,,,"For usage statistics of SVD, we refer interested users to HuggingFace model download/usage statistics as a primary indicator. Third-party applications also have reported model usage statistics. We might also consider releasing aggregate usage statistics of stablevideo.com on reaching some milestones.",
Affected individuals,,"There are thousands of applications built using AI21Studio and our APIs that are used by millions of people every day. These applications exist in a wide variety of industry segments including retail, financial services, healthcare, education, e-commerce, hi-tech, media/communications and entertainment/gaming. Jurassic 2 models are used by customers in more than 30 countries around the world with predominant usage in the U.S. the U.K and the E.U. Popular usage scenarios include Language Modeling and Completion, Instruction Following, Sentiment Analysis, Paraphrasing, Summarization and Question Answering.","We do not deploy downstream applications as Aleph Alpha, and have limited (and legally non-disclosable) insights into the number of applications (however defined), market sectors, affected individuals, use reports, or geographic statistics, our customers build with our models.",,,,,,,,,,"For usage statistics of SVD, we refer interested users to HuggingFace model download/usage statistics as a primary indicator. Third-party applications also have reported model usage statistics. We might also consider releasing aggregate usage statistics of stablevideo.com on reaching some milestones.",
Usage reports,,"There are thousands of applications built using AI21Studio and our APIs that are used by millions of people every day. These applications exist in a wide variety of industry segments including retail, financial services, healthcare, education, e-commerce, hi-tech, media/communications and entertainment/gaming. Jurassic 2 models are used by customers in more than 30 countries around the world with predominant usage in the U.S. the U.K and the E.U. Popular usage scenarios include Language Modeling and Completion, Instruction Following, Sentiment Analysis, Paraphrasing, Summarization and Question Answering.","We do not deploy downstream applications as Aleph Alpha, and have limited (and legally non-disclosable) insights into the number of applications (however defined), market sectors, affected individuals, use reports, or geographic statistics, our customers build with our models.",,,"Hugging Face displays the metrics for downloads of the models and datasets.

The ServiceNow text-to-code LLM is a fine-tuned version of StarCoder.

From the ServiceNow 2023 Q4 Earnings Call transcript: “Our text to workflow capability dramatically increases developer productivity. ServiceNow's developers have been using text to code for several months. They are generating high-quality code using text to describe the type of code they want. This has increased our developer innovation speed by 52%.”",,,,,,,"For usage statistics of SVD, we refer interested users to HuggingFace model download/usage statistics as a primary indicator. Third-party applications also have reported model usage statistics. We might also consider releasing aggregate usage statistics of stablevideo.com on reaching some milestones.",
Geographic statistics,,"There are thousands of applications built using AI21Studio and our APIs that are used by millions of people every day. These applications exist in a wide variety of industry segments including retail, financial services, healthcare, education, e-commerce, hi-tech, media/communications and entertainment/gaming. Jurassic 2 models are used by customers in more than 30 countries around the world with predominant usage in the U.S. the U.K and the E.U. Popular usage scenarios include Language Modeling and Completion, Instruction Following, Sentiment Analysis, Paraphrasing, Summarization and Question Answering.","We do not deploy downstream applications as Aleph Alpha, and have limited (and legally non-disclosable) insights into the number of applications (however defined), market sectors, affected individuals, use reports, or geographic statistics, our customers build with our models.",,,,,,,,,,"For usage statistics of SVD, we refer interested users to HuggingFace model download/usage statistics as a primary indicator. Third-party applications also have reported model usage statistics. We might also consider releasing aggregate usage statistics of stablevideo.com on reaching some milestones.",
Redress mechanism,,"Our systems are monitored by a combination of automated detection systems and human auditing. Violations of our terms of service are communicated to individual account owners and action is taken that can include warnings, mitigation requirements and suspension of accounts. Account owners are provided with an opportunity to request a justification for the action and/or dispute the violation. Further, account owners can request the opportunity to address the violations and outline a plan to prevent future violations. Examples of violations are created and used in subsequent alignment work to improve model behavior. There is no additional mechanism for redress beyond these provisions and those outlined in our policies.","The process of requesting claims that can be derived from the agreements and T&C consists of all common communication channels and our ticket system, which can be used to contact our legal department directly.
We make it explicit in our model card: “For non-anonymous reports, we also provide an appeals / claims mechanism for usage policy violations via our dedicated contact address violations@aleph-alpha.com to communicate with us. Customers and partners are enabled to use our [ticketing system](https://servicedesk.aleph-alpha.com/external) for appeals, claims and feedback.“",,,The model is provided under an open RAIL license which includes a Limitation of Liability,"We provide an API to third party companies who are responsible for handling redress (if any) directly from their customers. For example, in the event a chatbot, implemented by a third party company/enterprise directs their customer to an unwanted credit card -- the enterprise (to whom we provided the chatbot) is responsible for/has the ability to provide redress to its customers.",,,,,,,
Centralized documentation for downstream use,,,We provide extensive API and playground documentation centrally.,"The AI Service Card for Tian Text is the centralized documentation resource for our customers (downstream users). It documents the intended use cases and limitations, potential risks and mitigations,  key considerations in the responsible use of the service (including use policies , privacy policies, service terms and more), and links to all other related technical documentations (including developer guides).","Our website includes documentation on our API, Acceptable Use Policy (AUP), Terms of Service (ToS), FAQs in our support centre, and our model card",See the list of ecosystem resources on the BigCode Website and on Hugging Face.,,watsonx documentation centralizes a substantial amount of relevant documentation for downstream use for granite.13b including sample prompts and how to deploy applications. ,GitHub centralized substantial amount of relevant documentation for downstream use,Model card,Centralized artifacts in Mistral documentation and the dedicated pages for policy and terms of use,,"The information related to the model and its development process and usage protocols can be found in the GitHub repo, associated research paper, and HuggingFace model page/cards.",
Documentation for responsible downstream use,,,"We published documentation for responsible downstream use in our terms and conditions as well as in the bias, risks, and limitations section of our model card, which excludes non-responsible use and provides guidance for mitigation.","The AI Service Card for Tian Text is the centralized documentation resource for our customers (downstream users). It documents the intended use cases and limitations, potential risks and mitigations, key considerations in the responsible use of the service (including use policies, privacy policies, service terms and more).",Our FAQ page outlines basic guidelines for responsible use in addition to our Terms of Service (ToS) that require users to comply with our Acceptable Use Policy (AUP) ,"Examples from the model card:

See the intended use page for guidelines on how to correctly use the model, since it is different to instruction tuned models and better suited to being a coding assistant.

See the attribution section for guidelines and best practices on attribution for code generated by the LLM.

Examples from the paper: 

""Deployments of StarCoder need to further challenge and adapt the model to prevent such behavior, e.g., through red- teaming (Perez et al., 2022), adversarial testing (Wan et al., 2023), and/or by adding a robust safety layer (OpenAI, 2023b).""

""To make these models more accessible to a wider audience, future research should investigate the performance and limitations of Code LLMs on other natural languages.""

""Generations from the model can be quickly checked to approximately assess the degree of overlap with the training corpus. The VSCode extension supports using this as a rapid, first-pass attribution method. However, this requires that matching strings are longer than a minimum size and does not attempt to filter common or generic code snippets. After the first pass check, users can use the full search index to further assess attribution.""",,watsonx documentation guides user to the right tasks and prompts suitable for granite.13b.,Llama 2 responsible use guide provides such documentation,Model card,"Guardrailing and Content moderation section in Mistral 7B paper.
Safe mode parameter is available on our API to filter harmful content.
Safety prompt available in the documentation",,"The information related to the model and its development process and usage protocols can be found in the GitHub repo, associated research paper, and HuggingFace model page/cards. The released model inference & demo code has image-level watermarking enabled by default, which can be used to detect the outputs. This is done via the imWatermark Python library.",
